date,open,high,low,close,volume,outstanding_share,turnover
1999-09-16,7.2,7.27,7.15,7.16,2832500.0,247750000.0,0.01143289606458123
1999-09-17,7.16,7.3,7.1,7.19,4095700.0,247750000.0,0.016531584258324926
1999-09-20,7.19,7.22,6.98,7.0,3510300.0,247750000.0,0.014168718466195761
1999-09-21,6.99,7.05,6.9,6.95,2537000.0,247750000.0,0.0102401614530777
1999-09-22,6.94,6.98,6.9,6.95,1542100.0,247750000.0,0.006224419778002018
1999-09-23,6.95,6.97,6.83,6.87,2009900.0,247750000.0,0.008112613521695258
1999-09-24,6.96,7.01,6.9,6.93,1247100.0,247750000.0,0.005033703329969727
1999-09-27,6.97,7.0,6.85,6.86,1313900.0,247750000.0,0.005303329969727548
1999-09-28,6.87,6.95,6.84,6.89,920000.0,247750000.0,0.003713420787083754
1999-09-29,6.93,6.95,6.81,6.82,1399310.0,247750000.0,0.005648072653884965
1999-09-30,6.83,6.88,6.8,6.81,1227800.0,247750000.0,0.004955802219979819
1999-10-08,6.8,6.8,6.58,6.6,3457200.0,300000000.0,0.011524
1999-10-11,6.57,6.57,6.43,6.45,3614600.0,300000000.0,0.012048666666666666
1999-10-12,6.45,6.51,6.45,6.46,1648500.0,300000000.0,0.005495
1999-10-13,6.4,6.45,6.27,6.28,1550800.0,300000000.0,0.005169333333333333
1999-10-14,6.28,6.4,6.14,6.2,2742300.0,300000000.0,0.009141
1999-10-15,6.25,6.39,6.25,6.34,2489300.0,300000000.0,0.008297666666666667
1999-10-18,6.35,6.38,6.13,6.17,1853100.0,300000000.0,0.006177
1999-10-19,6.11,6.16,6.0,6.05,2612400.0,300000000.0,0.008708
1999-10-20,6.06,6.14,5.95,6.07,3324100.0,300000000.0,0.011080333333333333
1999-10-21,6.05,6.12,5.98,6.01,2291200.0,300000000.0,0.007637333333333334
1999-10-22,6.01,6.21,6.01,6.12,2945800.0,300000000.0,0.009819333333333333
1999-10-25,6.15,6.18,6.04,6.1,944200.0,300000000.0,0.003147333333333333
1999-10-26,6.11,6.24,6.09,6.18,1231200.0,300000000.0,0.004104
1999-10-27,6.26,6.65,6.22,6.35,9024000.0,300000000.0,0.03008
1999-10-28,6.36,6.41,6.1,6.2,3611000.0,300000000.0,0.012036666666666666
1999-10-29,6.2,6.28,6.09,6.13,2077500.0,300000000.0,0.006925
1999-11-01,6.14,6.19,6.1,6.12,851100.0,300000000.0,0.002837
1999-11-02,6.12,6.19,6.09,6.12,716800.0,300000000.0,0.002389333333333333
1999-11-03,6.1,6.13,6.05,6.07,1084800.0,300000000.0,0.003616
1999-11-04,6.07,6.08,6.02,6.06,1034100.0,300000000.0,0.003447
1999-11-05,6.06,6.14,6.04,6.05,977400.0,300000000.0,0.003258
1999-11-08,6.07,6.14,6.05,6.08,836000.0,300000000.0,0.0027866666666666665
1999-11-09,6.08,6.15,6.03,6.05,971600.0,300000000.0,0.0032386666666666666
1999-11-10,6.05,6.05,5.9,6.0,2854300.0,300000000.0,0.009514333333333333
1999-11-11,6.0,6.1,5.9,5.92,1249700.0,300000000.0,0.0041656666666666665
1999-11-12,5.98,5.99,5.9,5.94,959500.0,300000000.0,0.0031983333333333334
1999-11-15,5.99,6.05,5.88,5.89,1047600.0,300000000.0,0.003492
1999-11-16,5.58,5.65,5.3,5.4,7003800.0,300000000.0,0.023346
1999-11-17,5.42,5.54,5.4,5.54,3722900.0,300000000.0,0.012409666666666666
1999-11-18,5.56,5.63,5.45,5.57,2802500.0,300000000.0,0.009341666666666667
1999-11-19,5.59,5.59,5.46,5.47,2142700.0,300000000.0,0.007142333333333333
1999-11-22,5.5,5.5,5.31,5.36,3298300.0,300000000.0,0.010994333333333333
1999-11-23,5.38,5.41,5.3,5.4,2644200.0,300000000.0,0.008814
1999-11-24,5.41,5.43,5.33,5.35,1472000.0,300000000.0,0.004906666666666667
1999-11-25,5.35,5.35,5.2,5.26,3229300.0,300000000.0,0.010764333333333334
1999-11-26,5.25,5.3,5.23,5.28,1299900.0,300000000.0,0.004333
1999-11-29,5.3,5.32,5.26,5.26,1340900.0,300000000.0,0.004469666666666667
1999-11-30,5.26,5.3,5.24,5.3,1003900.0,300000000.0,0.0033463333333333335
1999-12-01,5.34,5.35,5.28,5.32,1104900.0,300000000.0,0.003683
1999-12-02,5.3,5.31,5.26,5.27,1105300.0,300000000.0,0.0036843333333333333
1999-12-03,5.27,5.29,5.25,5.25,1266200.0,300000000.0,0.004220666666666667
1999-12-06,5.26,5.27,5.18,5.19,2181600.0,300000000.0,0.007272
1999-12-07,5.19,5.26,5.19,5.22,1624100.0,300000000.0,0.0054136666666666665
1999-12-08,5.22,5.25,5.11,5.16,2301100.0,300000000.0,0.007670333333333334
