date,open,high,low,close,volume,outstanding_share,turnover
2001-12-05,3.68,3.73,3.65,3.68,21642697.0,1681153299.9999998,0.012873720082517165
2001-12-06,3.68,3.69,3.61,3.63,17443607.0,1681153299.9999998,0.01037597642047278
2001-12-07,3.62,3.64,3.61,3.62,14641369.0,1681153299.9999998,0.00870912188674287
2001-12-10,3.59,3.63,3.55,3.6,50828801.0,2230000000.0,0.022793184304932736
2001-12-11,3.6,3.62,3.56,3.58,16848366.0,2230000000.0,0.007555321076233184
2001-12-12,3.57,3.59,3.54,3.56,21710839.0,2230000000.0,0.009735802242152466
2001-12-13,3.56,3.57,3.5,3.51,26133155.0,2230000000.0,0.011718903587443947
2001-12-14,3.51,3.52,3.49,3.5,11907902.0,2230000000.0,0.0053398663677130045
2001-12-17,3.5,3.53,3.47,3.48,14387919.0,2230000000.0,0.006451981614349776
2001-12-18,3.49,3.5,3.44,3.47,23722388.0,2230000000.0,0.010637842152466367
2001-12-19,3.47,3.49,3.47,3.47,10196722.0,2230000000.0,0.004572521076233184
2001-12-20,3.47,3.47,3.38,3.4,29038505.0,2230000000.0,0.013021751121076234
2001-12-21,3.38,3.41,3.37,3.39,13130540.0,2230000000.0,0.005888134529147982
2001-12-24,3.39,3.4,3.28,3.29,20222814.0,2230000000.0,0.009068526457399103
2001-12-25,3.29,3.31,3.2,3.3,16960409.0,2230000000.0,0.007605564573991031
2001-12-26,3.3,3.39,3.27,3.37,22963893.0,2230000000.0,0.010297709865470852
2001-12-27,3.37,3.46,3.37,3.38,31462495.0,2230000000.0,0.014108742152466368
2001-12-28,3.38,3.46,3.37,3.45,23955598.0,2230000000.0,0.01074242062780269
2001-12-31,3.45,3.49,3.44,3.45,16069985.0,2230000000.0,0.00720627130044843
2002-01-04,3.45,3.45,3.36,3.37,8518400.0,2230000000.0,0.003819910313901345
2002-01-07,3.36,3.38,3.29,3.36,9383966.0,2230000000.0,0.004208056502242152
2002-01-08,3.35,3.39,3.33,3.33,5957045.0,2230000000.0,0.0026713206278026905
2002-01-09,3.33,3.47,3.28,3.36,12226179.0,2230000000.0,0.005482591479820628
2002-01-10,3.36,3.38,3.27,3.37,16523668.0,2230000000.0,0.007409716591928251
2002-01-11,3.36,3.36,3.29,3.3,14673801.0,2230000000.0,0.006580179820627803
2002-01-14,3.28,3.35,3.24,3.26,18520585.0,2230000000.0,0.008305195067264574
2002-01-15,3.25,3.29,3.22,3.23,15256130.0,2230000000.0,0.006841313901345292
2002-01-16,3.23,3.3,3.19,3.27,18498917.0,2230000000.0,0.008295478475336323
2002-01-17,3.26,3.31,3.21,3.22,15462087.0,2230000000.0,0.006933671300448431
2002-01-18,3.2,3.24,3.14,3.2,23452367.0,2230000000.0,0.010516756502242153
