date,open,high,low,close,volume,outstanding_share,turnover
2001-10-15,35.9,36.0,34.9,35.3,975531.0,71500000.0,0.01364379020979021
2001-10-16,35.13,35.8,34.75,34.8,831991.0,71500000.0,0.011636237762237761
2001-10-17,34.79,34.81,33.9,34.2,1250768.0,71500000.0,0.01749325874125874
2001-10-18,34.2,34.66,33.91,34.04,498346.0,71500000.0,0.006969874125874126
2001-10-19,34.0,34.15,33.01,33.5,1568754.0,71500000.0,0.021940615384615385
2001-10-22,33.3,33.7,32.7,32.79,976065.0,71500000.0,0.013651258741258741
2001-10-23,36.0,36.07,35.01,36.07,4059824.0,71500000.0,0.056780755244755246
2001-10-24,36.78,36.8,35.11,35.86,4068239.0,71500000.0,0.05689844755244755
2001-10-25,35.7,35.8,34.86,34.88,1603686.0,71500000.0,0.022429174825174824
2001-10-26,34.7,35.1,34.42,35.0,900220.0,71500000.0,0.01259048951048951
2001-10-29,34.88,35.63,34.88,35.3,458786.0,71500000.0,0.006416587412587413
2001-10-30,35.25,35.49,34.92,35.0,348417.0,71500000.0,0.004872965034965035
2001-10-31,35.0,35.09,34.8,35.05,476247.0,71500000.0,0.006660797202797203
2001-11-01,35.05,35.64,34.95,35.57,664303.0,71500000.0,0.009290951048951048
2001-11-02,35.28,35.72,35.16,35.36,343520.0,71500000.0,0.0048044755244755245
2001-11-05,35.0,35.26,34.7,34.9,369076.0,71500000.0,0.005161902097902098
2001-11-06,34.8,35.3,34.72,35.15,260931.0,71500000.0,0.0036493846153846155
2001-11-07,35.0,35.0,33.8,33.85,932538.0,71500000.0,0.013042489510489511
2001-11-08,33.35,33.89,32.98,33.7,740216.0,71500000.0,0.010352671328671329
2001-11-09,33.7,34.48,33.34,34.15,376076.0,71500000.0,0.005259804195804196
2001-11-12,34.4,34.4,33.52,33.6,268333.0,71500000.0,0.003752909090909091
2001-11-13,33.28,33.7,33.21,33.64,267381.0,71500000.0,0.0037395944055944054
2001-11-14,33.64,34.0,33.64,33.65,76900.0,71500000.0,0.0010755244755244755
2001-11-15,33.65,33.8,33.5,33.68,219345.0,71500000.0,0.0030677622377622378
2001-11-16,36.2,36.2,33.99,34.09,995470.0,71500000.0,0.013922657342657343
2001-11-19,34.15,35.08,34.1,35.05,373461.0,71500000.0,0.005223230769230769
2001-11-20,35.2,35.53,34.9,35.38,806908.0,71500000.0,0.011285426573426573
2001-11-21,35.48,35.5,34.9,35.18,511442.0,71500000.0,0.007153034965034965
