,time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict,5d,25d,s-l,signal,market,strategy
2437,2012/8/10,198.4668145,199.49248280000003,193.85130719999998,194.8769755,5532184,1213920000,0.004557289,-3.9317284,0.0,-3.9317284,3.048514083,0.6552880670000001,82.30769247,178.1243934,201.0309852,73.13432852,75.38168473,68.04130366,90.06244688,,196.0393995599998,188.8955772560001,7.143822303999684,1,-0.019776439979095062,-0.019776439979095062
2438,2012/8/13,193.16752830000001,196.0735885,190.77430230000002,191.1161918,6574105,1213920000,0.0054156000000000004,-3.7607837,0.0,-3.7607837,2.1937905,1.28208535,63.11475423,178.1243934,201.0309852,56.7164182,69.15992922,68.41417885,70.65142997,,195.73169907999977,189.2833999760001,6.448299103999659,1,-0.019298245420480642,-0.019298245420480642
2439,2012/8/14,190.60335759999998,192.99658359999998,185.47501609999998,192.6546942,5053403,1213920000,0.00416288,1.5385024,1.5385024,0.0,1.28208535,1.28208535,50.0,178.1243934,201.0309852,63.43283596,67.25089813,68.02641861,65.69985718,,194.8769754999998,190.0877161880001,4.7892593119997,1,0.008050089244191483,0.008050089244191483
2440,2012/8/15,191.7999706,191.7999706,187.1844633,187.86824219999997,2951647,1213920000,0.0024315,-4.786452,0.0,-4.786452,0.5698156999999999,2.07982735,21.50537598,179.8338405,201.0309852,37.90322618,57.46834082,64.50705934,43.39090376,,193.0649615199998,190.5766223400001,2.4883391799996843,1,-0.02484472034214269,-0.02484472034214269
2441,2012/8/16,187.86824219999997,191.45808119999998,185.47501609999998,185.9878503,2863486,1213920000,0.002358875,-1.8803918999999998,0.0,-1.8803918999999998,0.5698156999999999,2.393226,19.23076884,184.6202926,201.0309852,8.333333232000001,41.09000495,56.70137455,9.867265769,,190.50079079999983,190.34238201600013,0.15840878399970393,1,-0.010009099345264283,-0.010009099345264283
2442,2012/8/17,185.9878503,187.69729740000002,183.765569,186.32973969999998,2625571,1213920000,0.002162886,0.3418894,0.3418894,0.0,0.313398633,2.393226,11.57894706,183.765569,201.0309852,14.85148502,32.34383164,48.58219358,-0.132892232,,188.7913436399998,190.2683059720001,-1.4769623320002836,-1,0.0018382351290608945,0.0018382351290608945
2443,2012/8/20,184.6202926,186.32973969999998,182.0561218,185.9878503,3159802,1213920000,0.002602974,-0.3418894,0.0,-0.3418894,0.313398633,1.7949195,14.86486448,182.0561218,200.005317,21.90476206,28.86414178,42.00950965,2.57340605,,187.76567533999983,190.3640350120001,-2.598359672000271,-1,-0.001834862220869593,0.001834862220869593
2444,2012/8/21,186.84257390000002,192.8256389,186.158795,192.14186,6244584,1213920000,0.005144148,6.1540097000000005,6.1540097000000005,0.0,1.339066917,1.168122217,53.40909064,182.0561218,200.005317,56.19047588,37.97291981,40.6639797,32.59080004,,187.66310849999982,190.50762857200007,-2.8445200720002504,-1,0.033088235011445866,-0.033088235011445866
2445,2012/8/22,192.3128048,192.99658359999998,186.5006844,188.8939105,4806846,1213920000,0.003959772,-3.2479495,0.0,-3.2479495,1.08264985,1.709447133,38.77551018,182.0561218,199.49248280000003,39.21568669,38.38717544,39.90504495,35.35143642,,187.86824215999982,190.2819815480001,-2.413739388000266,-1,-0.016903914118453933,0.016903914118453933
2446,2012/8/23,188.8939105,194.36414130000003,187.355408,193.85130719999998,6789512,1213920000,0.005593046999999999,4.9573967,4.9573967,0.0,1.9088826330000002,0.911705133,67.6767678,182.0561218,196.0735885,84.14634151,53.6402308,44.48344023,71.95381193,,189.44093353999983,190.17941472000007,-0.7384811800002353,-1,0.026244343647065183,-0.026244343647065183
