,time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict,5d,25d,s-l,signal,market,strategy
0,1999/8/3,6.78,6.8,6.63,6.68,9514900,247750000,0.038405247,-0.09,0.0,-0.09,0.03,0.033333333,47.36842105,6.63,6.8,29.41176471,29.41176471,29.41176471,29.41176471,,,,,0,,
1,1999/8/4,6.7,6.8,6.66,6.75,8469400,247750000,0.034185267000000005,0.07,0.07,0.0,0.041666667000000004,0.033333333,55.55555556,6.63,6.8,70.58823529,54.11764706,44.23529412,73.88235294,,,,,0,0.010479041916167775,0.0
2,1999/8/5,6.77,6.98,6.75,6.89,14603500,247750000,0.058944500999999996,0.14,0.14,0.0,0.04,0.033333333,54.54545455,6.63,6.98,74.28571429,63.67094206,53.44165367,84.12951884,,,,,0,0.020740740740740726,0.0
3,1999/8/6,6.89,7.07,6.69,6.98,14542700,247750000,0.058699092,0.09,0.09,0.0,0.055,0.025,68.75,6.63,7.07,79.54545455,70.26497032,60.42980059,89.9353098,,,,,0,0.013062409288824517,0.0
4,1999/8/9,6.98,7.05,6.86,6.93,10283800,247750000,0.041508778999999996,-0.05,0.0,-0.05,0.055,0.023333332999999998,70.21276596,6.63,7.07,68.18181818,69.46527685,63.89839574,80.59903906,,6.846000000000001,,,0,-0.007163323782235054,-0.0
5,1999/8/10,6.9,7.04,6.8,6.82,6168900,247750000,0.024899697000000002,-0.11,0.0,-0.11,0.05,0.041666667000000004,54.54545455,6.63,7.07,43.18181818,59.86094534,62.42305672,54.73672257,,6.8740000000000006,,,0,-0.015873015873015817,-0.0
6,1999/8/11,6.79,6.82,6.68,6.69,4005600,247750000,0.016167911,-0.13,0.0,-0.13,0.05,0.048333333,50.84745763,6.63,7.07,13.63636364,43.49488411,55.72143563,19.04178108,,6.862,,,0,-0.019061583577712593,-0.0
7,1999/8/12,6.69,6.8,6.68,6.71,2367400,247750000,0.0095556,0.02,0.02,0.0,0.041666667000000004,0.048333333,46.2962963,6.63,7.07,18.18181818,34.71460256,48.43484658,7.274114512000001,,6.8260000000000005,,,0,0.002989536621823552,0.0
8,1999/8/13,6.75,6.85,6.74,6.78,2820200,247750000,0.011383249,0.07,0.07,0.0,0.03,0.048333333,38.29787234,6.63,7.07,34.09090909,34.50115241,43.66623944,16.17097834,,6.786000000000001,,,0,0.010432190760059745,0.0
9,1999/8/16,6.8,6.82,6.7,6.77,1864600,247750000,0.007526135,-0.01,0.0,-0.01,0.015,0.05,23.07692308,6.66,7.07,26.82926829,31.89872768,39.67451288,16.34715728,,6.7540000000000004,,,0,-0.001474926253687392,-0.0
10,1999/8/17,6.78,6.9,6.75,6.77,3666200,247750000,0.014797982,0.0,0.0,0.0,0.015,0.041666667000000004,26.47058824,6.68,7.07,23.07692308,28.92373216,36.04900473,14.67318702,,6.7440000000000015,,,0,0.0,0.0
11,1999/8/18,6.78,6.8,6.63,6.76,2824700,247750000,0.011401413,-0.01,0.0,-0.01,0.015,0.025,37.5,6.63,7.07,29.54545455,29.13258264,33.725623600000006,19.94650072,,6.758000000000001,,,0,-0.001477104874446078,-0.0
12,1999/8/19,6.96,6.96,6.81,6.87,7660700,247750000,0.03092109,0.11,0.11,0.0,0.033333333,0.003333333,90.90909091,6.63,7.05,57.14285714,38.517563,35.33118649,44.89031604,,6.790000000000001,,,0,0.016272189349112454,0.0
13,1999/8/20,6.91,6.93,6.75,6.77,5523800,247750000,0.022295863,-0.1,0.0,-0.1,0.03,0.02,60.0,6.63,7.04,34.14634146,37.05548081,35.90792688,39.35058868,,6.787999999999999,,,0,-0.01455604075691419,-0.0
